muestra,t,M 5A,DUT 30A,
9,4260,66.416,387.117,
10,4792,65.527,370.208,
11,5323,63.647,405.495,
12,5856,68.071,430.604,
13,6391,65.368,443.421,
14,6940,68.734,463.438,
15,7471,67.885,144.361,
16,8004,67.493,139.839,
17,8534,67.693,138.464,
18,9067,66.920,139.281,
muestra,t,M 5A,DUT 30A,
2,540,68.254,135.789,
3,1072,68.295,151.059,
4,1715,65.023,379.326,
5,2245,66.263,416.545,
6,2778,65.081,433.842,
7,3308,66.827,451.658,
8,3842,67.102,434.818,
9,4373,65.138,435.162,
10,4906,68.444,401.559,
11,5438,66.990,419.982,
12,5970,67.229,367.543,
13,6501,68.006,417.005,
14,7034,66.923,406.906,
15,7565,67.970,139.095,
16,8095,66.491,143.437,
17,8627,67.696,139.660,
18,9160,67.266,138.955,
muestra,t,M 5A,DUT 30A,
2,539,65.315,139.561,
3,1069,65.805,146.923,
4,1603,63.886,436.777,
5,2133,68.392,436.651,
6,2668,67.615,442.887,
7,3198,66.135,430.566,
8,3732,66.382,408.416,
9,4264,66.483,447.362,
10,4796,66.728,372.768,
11,5327,66.747,374.554,
12,5860,66.452,398.925,
13,6392,67.073,449.670,
14,6925,68.022,430.348,
15,7456,66.421,146.747,
16,7988,67.695,145.191,
17,8519,66.161,141.225,
18,9056,65.765,142.210,
muestra,t,M 5A,DUT 30A,
2,539,66.979,139.172,
3,1071,67.633,154.608,
4,1603,65.588,434.206,
5,2135,68.644,450.041,
6,2667,66.133,434.818,
7,3200,67.248,446.564,
8,3732,67.089,428.504,
9,4265,66.056,398.908,
10,4796,64.829,370.970,
11,5329,68.255,413.151,
12,5861,66.740,392.387,
13,6394,66.703,429.721,
14,6926,68.148,454.015,
15,7458,66.902,144.541,
16,7990,66.750,138.159,
17,8522,67.386,139.165,
18,9054,66.966,138.510,
muestra,t,M 5A,DUT 30A,
2,538,66.373,138.698,
3,1075,65.992,222.027,
4,1607,63.919,525.385,
5,2138,67.325,542.211,
6,2687,65.554,519.241,
7,3221,65.073,477.611,
8,3751,66.563,535.922,
9,4285,67.225,551.553,
10,4815,66.756,371.974,
11,5348,65.958,330.497,
12,5879,66.111,339.842,
13,6412,67.284,339.213,
14,6943,68.777,334.230,
15,7477,66.761,335.290,
16,8008,63.990,330.603,
